"","period","year","month","date","label","account","account_label","account_generic","account_subcategory","account_category","account_statement","value"
"1","2020-03",2020,3,2020-03-18,"payment in advance for administrative offices",14050,"prepaid rent - administrative offices","prepaid expenses","current assets","assets","balance sheet",3000
"2","2020-03",2020,3,2020-03-18,"payment in advance for administrative offices",24100,"value added tax payable","taxes","current liabilities","liabilities","balance sheet",-300
"3","2020-03",2020,3,2020-03-18,"payment in advance for administrative offices",10100,"cash - operations","cash","current assets","assets","balance sheet",-3300
"4","2020-04",2020,4,2020-04-30,"usage of administrative offices",62000,"administrative expenses","operating expenses","operating expenses","operating expenses","income statement",3000
"5","2020-04",2020,4,2020-04-30,"usage of administrative offices",14050,"prepaid rent - administrative offices","prepaid expenses","current assets","assets","balance sheet",-3000
"6","2020-03",2020,3,2020-03-18,"payment in advance for advertising services",14010,"prepaid advertising - plain chocolate","prepaid expenses","current assets","assets","balance sheet",1000
"7","2020-03",2020,3,2020-03-18,"payment in advance for advertising services",24100,"value added tax payable","taxes","current liabilities","liabilities","balance sheet",-100
"8","2020-03",2020,3,2020-03-18,"payment in advance for advertising services",10100,"cash - operations","cash","current assets","assets","balance sheet",-1100
"9","2020-04",2020,4,2020-04-30,"usage of advertising services",61010,"selling and marketing - plain chololate","operating expenses","operating expenses","operating expenses","income statement",1000
"10","2020-04",2020,4,2020-04-30,"usage of advertising services",14010,"prepaid advertising - plain chocolate","prepaid expenses","current assets","assets","balance sheet",-1000
"11","2020-03",2020,3,2020-03-18,"payment in advance for advertising services",14020,"prepaid advertising - milk chocolate","prepaid expenses","current assets","assets","balance sheet",1000
"12","2020-03",2020,3,2020-03-18,"payment in advance for advertising services",24100,"value added tax payable","taxes","current liabilities","liabilities","balance sheet",-100
"13","2020-03",2020,3,2020-03-18,"payment in advance for advertising services",10100,"cash - operations","cash","current assets","assets","balance sheet",-1100
"14","2020-04",2020,4,2020-04-30,"usage of advertising services",61020,"selling and marketing - milk chocolate","operating expenses","operating expenses","operating expenses","income statement",1000
"15","2020-04",2020,4,2020-04-30,"usage of advertising services",14020,"prepaid advertising - milk chocolate","prepaid expenses","current assets","assets","balance sheet",-1000
"16","2020-03",2020,3,2020-03-18,"payment in advance for advertising services",14030,"prepaid advertising - white chocolate","prepaid expenses","current assets","assets","balance sheet",1000
"17","2020-03",2020,3,2020-03-18,"payment in advance for advertising services",24100,"value added tax payable","taxes","current liabilities","liabilities","balance sheet",-100
"18","2020-03",2020,3,2020-03-18,"payment in advance for advertising services",10100,"cash - operations","cash","current assets","assets","balance sheet",-1100
"19","2020-04",2020,4,2020-04-30,"usage of advertising services",61030,"selling and marketing - white chocolate","operating expenses","operating expenses","operating expenses","income statement",1000
"20","2020-04",2020,4,2020-04-30,"usage of advertising services",14030,"prepaid advertising - white chocolate","prepaid expenses","current assets","assets","balance sheet",-1000
"21","2020-03",2020,3,2020-03-18,"purchase of maintenance equipment - 1",15310,"equipment - maintenance equipment","operating assets","long term assets","assets","balance sheet",30000
"22","2020-03",2020,3,2020-03-18,"purchase of maintenance equipment - 1",10200,"cash - investment","cash","current assets","assets","balance sheet",-30000
"23","2020-04",2020,4,2020-04-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"24","2020-04",2020,4,2020-04-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"25","2020-05",2020,5,2020-05-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"26","2020-05",2020,5,2020-05-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"27","2020-06",2020,6,2020-06-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"28","2020-06",2020,6,2020-06-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"29","2020-07",2020,7,2020-07-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"30","2020-07",2020,7,2020-07-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"31","2020-08",2020,8,2020-08-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"32","2020-08",2020,8,2020-08-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"33","2020-09",2020,9,2020-09-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"34","2020-09",2020,9,2020-09-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"35","2020-10",2020,10,2020-10-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"36","2020-10",2020,10,2020-10-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"37","2020-11",2020,11,2020-11-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"38","2020-11",2020,11,2020-11-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"39","2020-12",2020,12,2020-12-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"40","2020-12",2020,12,2020-12-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"41","2021-01",2021,1,2021-01-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"42","2021-01",2021,1,2021-01-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"43","2021-02",2021,2,2021-02-28,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"44","2021-02",2021,2,2021-02-28,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"45","2021-03",2021,3,2021-03-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"46","2021-03",2021,3,2021-03-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"47","2021-04",2021,4,2021-04-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"48","2021-04",2021,4,2021-04-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"49","2021-05",2021,5,2021-05-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"50","2021-05",2021,5,2021-05-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"51","2021-06",2021,6,2021-06-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"52","2021-06",2021,6,2021-06-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"53","2021-07",2021,7,2021-07-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"54","2021-07",2021,7,2021-07-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"55","2021-08",2021,8,2021-08-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
